BilledAmt,Date
150,1/3/2012
150,1/3/2012
600,1/3/2012
900,1/3/2012
525,1/3/2012
525,1/3/2012
450,1/3/2012
150,1/3/2012
1875,1/3/2012
300,1/3/2012
1350,1/3/2012
150,1/3/2012
75,1/3/2012
225,1/3/2012
1875,1/3/2012
450,1/3/2012
525,1/3/2012
225,1/3/2012
600,1/3/2012
600,1/3/2012
300,1/3/2012
150,1/3/2012
150,1/3/2012
1200,1/3/2012
600,1/3/2012
1650,1/4/2012
2100,1/4/2012
2100,1/4/2012
150,1/4/2012
225,1/4/2012
225,1/4/2012
375,1/4/2012
150,1/4/2012
600,1/4/2012
1200,1/4/2012
450,1/4/2012
300,1/4/2012
600,1/4/2012
600,1/4/2012
375,1/4/2012
450,1/4/2012
300,1/4/2012
300,1/4/2012
1350,1/4/2012
75,1/4/2012
300,1/4/2012
450,1/4/2012
375,1/4/2012
600,1/4/2012
525,1/4/2012
525,1/4/2012
150,1/4/2012
450,1/4/2012
900,1/4/2012
150,1/4/2012
1050,1/4/2012
300,1/4/2012
225,1/4/2012
450,1/4/2012
750,1/4/2012
300,1/4/2012
900,1/4/2012
150,1/4/2012
300,1/4/2012
1350,1/4/2012
3600,1/4/2012
2700,1/4/2012
1050,1/4/2012
525,1/4/2012
600,1/4/2012
300,1/4/2012
225,1/4/2012
75,1/4/2012
1950,1/4/2012
1200,1/4/2012
2250,1/4/2012
600,1/5/2012
1200,1/5/2012
525,1/5/2012
300,1/5/2012
225,1/5/2012
300,1/5/2012
600,1/5/2012
600,1/5/2012
2400,1/5/2012
1200,1/5/2012
300,1/5/2012
675,1/5/2012
150,1/5/2012
900,1/5/2012
2250,1/5/2012
3600,1/5/2012
450,1/5/2012
1050,1/5/2012
750,1/5/2012
450,1/5/2012
900,1/5/2012
300,1/5/2012
150,1/5/2012
75,1/5/2012
675,1/5/2012
225,1/5/2012
375,1/5/2012
300,1/5/2012
1050,1/5/2012
375,1/5/2012
300,1/5/2012
300,1/5/2012
1050,1/5/2012
825,1/5/2012
1500,1/5/2012
1800,1/5/2012
150,1/5/2012
900,1/5/2012
225,1/5/2012
375,1/5/2012
450,1/5/2012
300,1/5/2012
450,1/5/2012
150,1/5/2012
300,1/5/2012
450,1/5/2012
600,1/5/2012
600,1/5/2012
900,1/5/2012
600,1/5/2012
150,1/5/2012
600,1/5/2012
1050,1/5/2012
150,1/5/2012
900,1/5/2012
375,1/5/2012
525,1/5/2012
900,1/5/2012
450,1/5/2012
375,1/5/2012
750,1/5/2012
600,1/5/2012
300,1/5/2012
1050,1/5/2012
2475,1/6/2012
300,1/6/2012
150,1/6/2012
300,1/6/2012
150,1/6/2012
300,1/6/2012
225,1/6/2012
375,1/6/2012
375,1/6/2012
1500,1/6/2012
1500,1/6/2012
900,1/6/2012
3600,1/6/2012
975,1/6/2012
75,1/6/2012
225,1/6/2012
75,1/6/2012
600,1/6/2012
450,1/6/2012
1350,1/6/2012
450,1/6/2012
1800,1/6/2012
675,1/6/2012
900,1/6/2012
525,1/6/2012
3600,1/6/2012
375,1/6/2012
1350,1/6/2012
375,1/6/2012
300,1/6/2012
750,1/6/2012
750,1/6/2012
375,1/6/2012
225,1/6/2012
75,1/6/2012
375,1/6/2012
300,1/6/2012
450,1/6/2012
900,1/6/2012
1350,1/6/2012
1500,1/6/2012
150,1/6/2012
300,1/6/2012
600,1/6/2012
1575,1/6/2012
1500,1/6/2012
300,1/6/2012
750,1/6/2012
900,1/6/2012
225,1/6/2012
3000,1/6/2012
375,1/6/2012
150,1/6/2012
375,1/6/2012
150,1/6/2012
525,1/6/2012
750,1/6/2012
150,1/6/2012
300,1/6/2012
750,1/6/2012
450,1/6/2012
1200,1/6/2012
900,1/6/2012
225,1/6/2012
1125,1/6/2012
600,1/6/2012
225,1/6/2012
750,1/6/2012
900,1/6/2012
525,1/6/2012
600,1/6/2012
600,1/6/2012
450,1/6/2012
300,1/7/2012
150,1/7/2012
150,1/7/2012
675,1/7/2012
375,1/7/2012
450,1/7/2012
150,1/7/2012
450,1/7/2012
450,1/7/2012
1050,1/7/2012
150,1/7/2012
450,1/7/2012
750,1/7/2012
1050,1/7/2012
2250,1/7/2012
300,1/7/2012
1050,1/7/2012
525,1/7/2012
1050,1/7/2012
300,1/7/2012
375,1/7/2012
225,1/7/2012
450,1/7/2012
375,1/7/2012
150,1/7/2012
1050,1/7/2012
375,1/7/2012
375,1/7/2012
1875,1/7/2012
450,1/7/2012
750,1/7/2012
525,1/7/2012
300,1/7/2012
750,1/7/2012
1350,1/7/2012
450,1/7/2012
450,1/7/2012
150,1/7/2012
1650,1/7/2012
300,1/7/2012
150,1/7/2012
225,1/7/2012
300,1/8/2012
525,1/8/2012
375,1/8/2012
150,1/8/2012
225,1/8/2012
75,1/8/2012
600,1/8/2012
300,1/8/2012
750,1/8/2012
600,1/8/2012
1500,1/8/2012
1350,1/8/2012
225,1/8/2012
75,1/8/2012
525,1/8/2012
150,1/8/2012
225,1/8/2012
1650,1/8/2012
525,1/8/2012
3000,1/8/2012
75,1/8/2012
375,1/8/2012
600,1/8/2012
900,1/8/2012
1200,1/8/2012
450,1/8/2012
600,1/8/2012
675,1/8/2012
900,1/8/2012
750,1/8/2012
750,1/8/2012
225,1/8/2012
600,1/8/2012
600,1/8/2012
300,1/8/2012
750,1/8/2012
225,1/8/2012
600,1/8/2012
300,1/8/2012
150,1/8/2012
1125,1/8/2012
525,1/8/2012
300,1/9/2012
900,1/9/2012
1050,1/9/2012
375,1/9/2012
3000,1/9/2012
600,1/9/2012
1500,1/9/2012
75,1/9/2012
225,1/9/2012
1200,1/9/2012
225,1/9/2012
225,1/9/2012
2700,1/9/2012
2400,1/9/2012
600,1/9/2012
1350,1/9/2012
900,1/9/2012
150,1/9/2012
75,1/9/2012
375,1/9/2012
300,1/9/2012
150,1/9/2012
375,1/9/2012
750,1/9/2012
375,1/9/2012
375,1/9/2012
1125,1/9/2012
300,1/9/2012
750,1/9/2012
300,1/9/2012
750,1/9/2012
300,1/9/2012
525,1/9/2012
225,1/9/2012
150,1/9/2012
225,1/9/2012
1125,1/9/2012
375,1/9/2012
150,1/9/2012
450,1/9/2012
675,1/9/2012
1800,1/9/2012
750,1/9/2012
825,1/9/2012
450,1/9/2012
525,1/9/2012
150,1/9/2012
375,1/9/2012
450,1/9/2012
1500,1/9/2012
750,1/9/2012
1200,1/9/2012
375,1/9/2012
750,1/9/2012
450,1/9/2012
750,1/9/2012
750,1/9/2012
450,1/9/2012
750,1/9/2012
300,1/9/2012
75,1/9/2012
525,1/9/2012
900,1/9/2012
300,1/9/2012
150,1/9/2012
2625,1/9/2012
1050,1/10/2012
750,1/10/2012
375,1/10/2012
1200,1/10/2012
150,1/10/2012
150,1/10/2012
600,1/10/2012
1500,1/10/2012
2100,1/10/2012
1500,1/10/2012
225,1/10/2012
1200,1/10/2012
225,1/10/2012
225,1/10/2012
2700,1/10/2012
1350,1/10/2012
1350,1/10/2012
450,1/10/2012
600,1/10/2012
75,1/10/2012
225,1/10/2012
675,1/10/2012
225,1/10/2012
600,1/10/2012
1800,1/10/2012
450,1/10/2012
150,1/10/2012
300,1/10/2012
225,1/10/2012
150,1/10/2012
225,1/10/2012
3150,1/10/2012
75,1/10/2012
1350,1/10/2012
75,1/10/2012
675,1/10/2012
600,1/10/2012
300,1/10/2012
375,1/10/2012
150,1/10/2012
525,1/10/2012
525,1/10/2012
375,1/10/2012
150,1/10/2012
375,1/10/2012
750,1/10/2012
2250,1/10/2012
75,1/10/2012
900,1/10/2012
1650,1/10/2012
300,1/10/2012
75,1/10/2012
300,1/10/2012
150,1/10/2012
750,1/10/2012
150,1/10/2012
750,1/10/2012
750,1/10/2012
1050,1/10/2012
1500,1/10/2012
600,1/10/2012
450,1/10/2012
525,1/10/2012
750,1/10/2012
750,1/10/2012
1200,1/10/2012
600,1/10/2012
150,1/10/2012
300,1/10/2012
525,1/10/2012
150,1/10/2012
1650,1/10/2012
1050,1/11/2012
150,1/11/2012
525,1/11/2012
300,1/11/2012
375,1/11/2012
150,1/11/2012
300,1/11/2012
375,1/11/2012
300,1/11/2012
1500,1/11/2012
1200,1/11/2012
225,1/11/2012
900,1/11/2012
675,1/11/2012
1350,1/11/2012
750,1/11/2012
450,1/11/2012
150,1/11/2012
600,1/11/2012
300,1/11/2012
600,1/11/2012
1350,1/11/2012
375,1/11/2012
300,1/11/2012
75,1/11/2012
75,1/11/2012
450,1/11/2012
1575,1/11/2012
450,1/11/2012
375,1/11/2012
675,1/11/2012
3375,1/11/2012
600,1/11/2012
600,1/11/2012
225,1/11/2012
900,1/11/2012
525,1/11/2012
2250,1/11/2012
300,1/11/2012
750,1/11/2012
300,1/11/2012
300,1/11/2012
750,1/11/2012
1125,1/11/2012
300,1/11/2012
900,1/11/2012
150,1/11/2012
300,1/11/2012
600,1/11/2012
300,1/11/2012
300,1/11/2012
750,1/11/2012
300,1/11/2012
975,1/11/2012
525,1/11/2012
450,1/11/2012
750,1/11/2012
525,1/11/2012
75,1/12/2012
150,1/12/2012
150,1/12/2012
2100,1/12/2012
450,1/12/2012
525,1/12/2012
225,1/12/2012
225,1/12/2012
150,1/12/2012
900,1/12/2012
600,1/12/2012
525,1/12/2012
75,1/12/2012
225,1/12/2012
600,1/12/2012
900,1/12/2012
75,1/12/2012
300,1/12/2012
3600,1/12/2012
5400,1/12/2012
300,1/12/2012
825,1/12/2012
600,1/12/2012
675,1/12/2012
300,1/12/2012
300,1/12/2012
900,1/12/2012
225,1/12/2012
300,1/12/2012
450,1/12/2012
2025,1/12/2012
2025,1/12/2012
2250,1/12/2012
2625,1/12/2012
1200,1/12/2012
150,1/12/2012
1125,1/12/2012
225,1/12/2012
75,1/12/2012
225,1/12/2012
1050,1/12/2012
375,1/12/2012
300,1/12/2012
900,1/12/2012
300,1/12/2012
150,1/12/2012
750,1/12/2012
2250,1/12/2012
150,1/12/2012
1500,1/12/2012
150,1/12/2012
1050,1/12/2012
450,1/12/2012
450,1/12/2012
1125,1/12/2012
75,1/12/2012
225,1/12/2012
150,1/12/2012
525,1/12/2012
150,1/13/2012
225,1/13/2012
150,1/13/2012
1800,1/13/2012
900,1/13/2012
375,1/13/2012
1200,1/13/2012
1200,1/13/2012
525,1/13/2012
75,1/13/2012
675,1/13/2012
600,1/13/2012
600,1/13/2012
675,1/13/2012
225,1/13/2012
150,1/13/2012
450,1/13/2012
150,1/13/2012
375,1/13/2012
750,1/13/2012
450,1/13/2012
2025,1/13/2012
4500,1/13/2012
450,1/13/2012
225,1/13/2012
600,1/13/2012
225,1/13/2012
150,1/13/2012
2700,1/13/2012
2625,1/13/2012
375,1/13/2012
225,1/13/2012
1200,1/13/2012
375,1/13/2012
375,1/13/2012
375,1/13/2012
750,1/13/2012
1050,1/13/2012
675,1/13/2012
300,1/13/2012
525,1/13/2012
375,1/13/2012
750,1/13/2012
1350,1/13/2012
1500,1/13/2012
750,1/13/2012
150,1/13/2012
525,1/13/2012
75,1/13/2012
900,1/13/2012
1125,1/13/2012
1875,1/13/2012
150,1/13/2012
1050,1/13/2012
300,1/13/2012
75,1/13/2012
2250,1/13/2012
300,1/14/2012
750,1/14/2012
150,1/14/2012
300,1/14/2012
150,1/14/2012
900,1/14/2012
75,1/14/2012
900,1/14/2012
300,1/14/2012
1200,1/14/2012
900,1/14/2012
225,1/14/2012
75,1/14/2012
525,1/14/2012
450,1/14/2012
75,1/14/2012
75,1/14/2012
300,1/14/2012
300,1/14/2012
300,1/14/2012
1050,1/14/2012
150,1/14/2012
150,1/14/2012
1800,1/14/2012
300,1/14/2012
225,1/14/2012
2700,1/14/2012
600,1/14/2012
150,1/14/2012
150,1/14/2012
600,1/14/2012
150,1/14/2012
375,1/14/2012
1500,1/14/2012
1125,1/14/2012
750,1/14/2012
600,1/14/2012
375,1/14/2012
1500,1/14/2012
750,1/14/2012
300,1/14/2012
600,1/14/2012
225,1/14/2012
300,1/14/2012
300,1/14/2012
450,1/14/2012
600,1/14/2012
150,1/14/2012
450,1/15/2012
300,1/15/2012
450,1/15/2012
300,1/15/2012
75,1/15/2012
225,1/15/2012
300,1/15/2012
600,1/15/2012
375,1/15/2012
150,1/15/2012
2100,1/15/2012
2400,1/15/2012
225,1/15/2012
600,1/15/2012
450,1/15/2012
1125,1/15/2012
2025,1/15/2012
4500,1/15/2012
375,1/15/2012
300,1/15/2012
150,1/15/2012
450,1/15/2012
300,1/15/2012
675,1/15/2012
300,1/15/2012
375,1/15/2012
600,1/15/2012
525,1/15/2012
525,1/15/2012
600,1/15/2012
525,1/15/2012
225,1/15/2012
150,1/15/2012
450,1/15/2012
300,1/15/2012
300,1/15/2012
750,1/15/2012
750,1/15/2012
900,1/15/2012
450,1/15/2012
225,1/15/2012
450,1/15/2012
150,1/15/2012
450,1/15/2012
300,1/15/2012
1050,1/15/2012
150,1/16/2012
225,1/16/2012
900,1/16/2012
1500,1/16/2012
1200,1/16/2012
1500,1/16/2012
1200,1/16/2012
375,1/16/2012
2100,1/16/2012
2100,1/16/2012
1200,1/16/2012
525,1/16/2012
75,1/16/2012
225,1/16/2012
75,1/16/2012
675,1/16/2012
375,1/16/2012
750,1/16/2012
2250,1/16/2012
1200,1/16/2012
525,1/16/2012
900,1/16/2012
525,1/16/2012
150,1/16/2012
975,1/16/2012
75,1/16/2012
2250,1/16/2012
2700,1/16/2012
375,1/16/2012
150,1/16/2012
2700,1/16/2012
225,1/16/2012
450,1/16/2012
675,1/16/2012
375,1/16/2012
450,1/16/2012
600,1/16/2012
300,1/16/2012
750,1/16/2012
1050,1/16/2012
525,1/16/2012
150,1/16/2012
1500,1/16/2012
525,1/16/2012
900,1/16/2012
300,1/16/2012
825,1/16/2012
450,1/16/2012
75,1/16/2012
750,1/16/2012
1050,1/16/2012
450,1/16/2012
600,1/16/2012
900,1/16/2012
900,1/16/2012
900,1/16/2012
900,1/16/2012
450,1/16/2012
300,1/16/2012
150,1/16/2012
375,1/16/2012
375,1/16/2012
150,1/16/2012
600,1/16/2012
150,1/16/2012
150,1/16/2012
450,1/16/2012
150,1/16/2012
450,1/16/2012
300,1/17/2012
450,1/17/2012
525,1/17/2012
225,1/17/2012
375,1/17/2012
375,1/17/2012
150,1/17/2012
225,1/17/2012
1800,1/17/2012
1200,1/17/2012
150,1/17/2012
2100,1/17/2012
1200,1/17/2012
1200,1/17/2012
525,1/17/2012
450,1/17/2012
450,1/17/2012
150,1/17/2012
2025,1/17/2012
900,1/17/2012
1575,1/17/2012
75,1/17/2012
150,1/17/2012
3600,1/17/2012
150,1/17/2012
375,1/17/2012
375,1/17/2012
225,1/17/2012
900,1/17/2012
150,1/17/2012
150,1/17/2012
375,1/17/2012
375,1/17/2012
600,1/17/2012
750,1/17/2012
1200,1/17/2012
750,1/17/2012
75,1/17/2012
1050,1/17/2012
450,1/17/2012
375,1/17/2012
225,1/17/2012
450,1/17/2012
750,1/17/2012
600,1/17/2012
750,1/17/2012
450,1/17/2012
450,1/17/2012
375,1/17/2012
750,1/17/2012
1200,1/17/2012
1350,1/17/2012
1350,1/17/2012
525,1/17/2012
300,1/17/2012
750,1/17/2012
450,1/17/2012
1500,1/17/2012
300,1/18/2012
150,1/18/2012
150,1/18/2012
300,1/18/2012
375,1/18/2012
1800,1/18/2012
2700,1/18/2012
1200,1/18/2012
225,1/18/2012
1500,1/18/2012
375,1/18/2012
1125,1/18/2012
600,1/18/2012
2475,1/18/2012
1275,1/18/2012
525,1/18/2012
525,1/18/2012
750,1/18/2012
525,1/18/2012
600,1/18/2012
450,1/18/2012
1800,1/18/2012
1800,1/18/2012
450,1/18/2012
375,1/18/2012
1125,1/18/2012
450,1/18/2012
750,1/18/2012
2250,1/18/2012
150,1/18/2012
450,1/18/2012
225,1/18/2012
600,1/18/2012
75,1/18/2012
1125,1/18/2012
150,1/18/2012
600,1/18/2012
225,1/18/2012
375,1/18/2012
525,1/18/2012
1200,1/18/2012
525,1/18/2012
975,1/18/2012
150,1/18/2012
300,1/18/2012
300,1/18/2012
300,1/18/2012
750,1/18/2012
750,1/18/2012
600,1/18/2012
600,1/18/2012
1050,1/18/2012
900,1/18/2012
2700,1/18/2012
1575,1/18/2012
600,1/18/2012
450,1/18/2012
1125,1/18/2012
825,1/18/2012
900,1/18/2012
900,1/18/2012
1050,1/18/2012
375,1/19/2012
1050,1/19/2012
1800,1/19/2012
2475,1/19/2012
375,1/19/2012
375,1/19/2012
300,1/19/2012
600,1/19/2012
150,1/19/2012
300,1/19/2012
750,1/19/2012
225,1/19/2012
525,1/19/2012
225,1/19/2012
900,1/19/2012
1050,1/19/2012
600,1/19/2012
300,1/19/2012
450,1/19/2012
300,1/19/2012
75,1/19/2012
675,1/19/2012
525,1/19/2012
300,1/19/2012
300,1/19/2012
225,1/19/2012
450,1/19/2012
900,1/19/2012
900,1/19/2012
525,1/19/2012
600,1/19/2012
1050,1/19/2012
75,1/19/2012
450,1/19/2012
375,1/19/2012
150,1/19/2012
525,1/19/2012
450,1/19/2012
600,1/19/2012
1350,1/19/2012
150,1/19/2012
1800,1/19/2012
900,1/19/2012
1200,1/19/2012
1200,1/19/2012
450,1/19/2012
900,1/19/2012
525,1/19/2012
750,1/19/2012
150,1/19/2012
75,1/19/2012
975,1/19/2012
750,1/19/2012
825,1/19/2012
375,1/19/2012
225,1/19/2012
1500,1/19/2012
225,1/19/2012
825,1/19/2012
900,1/19/2012
600,1/19/2012
750,1/19/2012
450,1/19/2012
300,1/19/2012
450,1/20/2012
75,1/20/2012
600,1/20/2012
2100,1/20/2012
1800,1/20/2012
375,1/20/2012
900,1/20/2012
75,1/20/2012
150,1/20/2012
375,1/20/2012
225,1/20/2012
225,1/20/2012
600,1/20/2012
375,1/20/2012
600,1/20/2012
225,1/20/2012
750,1/20/2012
300,1/20/2012
675,1/20/2012
225,1/20/2012
450,1/20/2012
1500,1/20/2012
525,1/20/2012
1575,1/20/2012
525,1/20/2012
300,1/20/2012
150,1/20/2012
750,1/20/2012
600,1/20/2012
525,1/20/2012
450,1/20/2012
975,1/20/2012
225,1/20/2012
600,1/20/2012
1200,1/20/2012
3375,1/20/2012
525,1/20/2012
600,1/20/2012
1125,1/20/2012
300,1/20/2012
225,1/20/2012
225,1/20/2012
1050,1/20/2012
375,1/20/2012
375,1/20/2012
375,1/20/2012
375,1/20/2012
1500,1/20/2012
525,1/20/2012
600,1/20/2012
375,1/20/2012
150,1/20/2012
300,1/20/2012
300,1/20/2012
900,1/20/2012
225,1/20/2012
900,1/20/2012
900,1/20/2012
2700,1/20/2012
150,1/20/2012
150,1/20/2012
225,1/20/2012
300,1/20/2012
300,1/20/2012
300,1/20/2012
1050,1/20/2012
300,1/20/2012
1875,1/20/2012
450,1/20/2012
150,1/21/2012
150,1/21/2012
2100,1/21/2012
375,1/21/2012
150,1/21/2012
150,1/21/2012
1800,1/21/2012
600,1/21/2012
1500,1/21/2012
225,1/21/2012
75,1/21/2012
600,1/21/2012
450,1/21/2012
450,1/21/2012
225,1/21/2012
300,1/21/2012
1200,1/21/2012
825,1/21/2012
375,1/21/2012
375,1/21/2012
225,1/21/2012
300,1/21/2012
150,1/21/2012
1350,1/21/2012
375,1/21/2012
900,1/21/2012
150,1/21/2012
600,1/21/2012
750,1/21/2012
150,1/21/2012
750,1/21/2012
225,1/21/2012
900,1/21/2012
750,1/21/2012
300,1/21/2012
600,1/21/2012
900,1/21/2012
525,1/21/2012
225,1/21/2012
150,1/21/2012
150,1/21/2012
375,1/21/2012
450,1/21/2012
750,1/22/2012
75,1/22/2012
150,1/22/2012
75,1/22/2012
900,1/22/2012
2700,1/22/2012
300,1/22/2012
300,1/22/2012
150,1/22/2012
1500,1/22/2012
150,1/22/2012
225,1/22/2012
675,1/22/2012
450,1/22/2012
525,1/22/2012
1575,1/22/2012
600,1/22/2012
150,1/22/2012
300,1/22/2012
300,1/22/2012
375,1/22/2012
75,1/22/2012
375,1/22/2012
750,1/22/2012
750,1/22/2012
450,1/22/2012
450,1/22/2012
900,1/22/2012
1500,1/22/2012
600,1/22/2012
750,1/22/2012
450,1/22/2012
300,1/22/2012
450,1/22/2012
300,1/22/2012
1800,1/22/2012
150,1/22/2012
450,1/22/2012
300,1/22/2012
450,1/22/2012
1050,1/22/2012
150,1/22/2012
1050,1/22/2012
1650,1/22/2012
1125,1/22/2012
375,1/23/2012
750,1/23/2012
750,1/23/2012
75,1/23/2012
150,1/23/2012
525,1/23/2012
75,1/23/2012
600,1/23/2012
2100,1/23/2012
900,1/23/2012
1500,1/23/2012
225,1/23/2012
600,1/23/2012
300,1/23/2012
1125,1/23/2012
375,1/23/2012
675,1/23/2012
75,1/23/2012
525,1/23/2012
450,1/23/2012
2700,1/23/2012
150,1/23/2012
825,1/23/2012
75,1/23/2012
300,1/23/2012
600,1/23/2012
450,1/23/2012
150,1/23/2012
600,1/23/2012
2250,1/23/2012
450,1/23/2012
150,1/23/2012
600,1/23/2012
450,1/23/2012
75,1/23/2012
525,1/23/2012
1125,1/23/2012
450,1/23/2012
450,1/23/2012
1200,1/23/2012
525,1/23/2012
225,1/23/2012
75,1/23/2012
375,1/23/2012
300,1/23/2012
675,1/23/2012
300,1/23/2012
900,1/23/2012
300,1/23/2012
750,1/23/2012
525,1/23/2012
600,1/23/2012
1350,1/23/2012
1200,1/23/2012
450,1/23/2012
750,1/23/2012
525,1/23/2012
150,1/23/2012
750,1/23/2012
600,1/23/2012
1200,1/23/2012
300,1/23/2012
150,1/23/2012
375,1/23/2012
3150,1/23/2012
1125,1/23/2012
150,1/23/2012
375,1/23/2012
150,1/23/2012
600,1/23/2012
300,1/23/2012
375,1/23/2012
300,1/23/2012
150,1/23/2012
1875,1/23/2012
75,1/24/2012
300,1/24/2012
600,1/24/2012
450,1/24/2012
375,1/24/2012
150,1/24/2012
375,1/24/2012
225,1/24/2012
150,1/24/2012
1500,1/24/2012
600,1/24/2012
600,1/24/2012
675,1/24/2012
900,1/24/2012
1500,1/24/2012
675,1/24/2012
2475,1/24/2012
150,1/24/2012
150,1/24/2012
150,1/24/2012
225,1/24/2012
300,1/24/2012
1950,1/24/2012
1800,1/24/2012
300,1/24/2012
375,1/24/2012
600,1/24/2012
150,1/24/2012
750,1/24/2012
450,1/24/2012
450,1/24/2012
225,1/24/2012
225,1/24/2012
750,1/24/2012
1200,1/24/2012
450,1/24/2012
1125,1/24/2012
750,1/24/2012
600,1/24/2012
150,1/24/2012
750,1/24/2012
375,1/24/2012
150,1/24/2012
900,1/24/2012
900,1/24/2012
150,1/24/2012
600,1/24/2012
750,1/24/2012
150,1/24/2012
2625,1/24/2012
1200,1/24/2012
1650,1/24/2012
75,1/24/2012
750,1/24/2012
150,1/24/2012
900,1/24/2012
150,1/24/2012
1350,1/24/2012
375,1/24/2012
300,1/24/2012
150,1/24/2012
300,1/24/2012
300,1/24/2012
375,1/24/2012
300,1/25/2012
150,1/25/2012
3000,1/25/2012
1575,1/25/2012
75,1/25/2012
75,1/25/2012
300,1/25/2012
150,1/25/2012
75,1/25/2012
225,1/25/2012
450,1/25/2012
600,1/25/2012
1500,1/25/2012
75,1/25/2012
300,1/25/2012
450,1/25/2012
525,1/25/2012
750,1/25/2012
450,1/25/2012
225,1/25/2012
150,1/25/2012
675,1/25/2012
525,1/25/2012
525,1/25/2012
900,1/25/2012
150,1/25/2012
375,1/25/2012
600,1/25/2012
150,1/25/2012
7650,1/25/2012
300,1/25/2012
450,1/25/2012
75,1/25/2012
2625,1/25/2012
450,1/25/2012
750,1/25/2012
1125,1/25/2012
750,1/25/2012
375,1/25/2012
450,1/25/2012
375,1/25/2012
525,1/25/2012
225,1/25/2012
450,1/25/2012
300,1/25/2012
600,1/25/2012
1050,1/25/2012
300,1/25/2012
750,1/25/2012
1350,1/25/2012
600,1/25/2012
525,1/25/2012
450,1/25/2012
300,1/25/2012
1050,1/25/2012
450,1/25/2012
375,1/26/2012
150,1/26/2012
1650,1/26/2012
3000,1/26/2012
1200,1/26/2012
375,1/26/2012
300,1/26/2012
375,1/26/2012
300,1/26/2012
600,1/26/2012
1800,1/26/2012
600,1/26/2012
1200,1/26/2012
600,1/26/2012
600,1/26/2012
375,1/26/2012
225,1/26/2012
300,1/26/2012
225,1/26/2012
300,1/26/2012
300,1/26/2012
150,1/26/2012
900,1/26/2012
375,1/26/2012
150,1/26/2012
375,1/26/2012
1050,1/26/2012
225,1/26/2012
525,1/26/2012
750,1/26/2012
1875,1/26/2012
1350,1/26/2012
600,1/26/2012
75,1/26/2012
975,1/26/2012
375,1/26/2012
150,1/26/2012
150,1/26/2012
375,1/26/2012
600,1/26/2012
375,1/26/2012
1875,1/26/2012
150,1/26/2012
525,1/26/2012
900,1/26/2012
450,1/26/2012
1200,1/26/2012
300,1/26/2012
1875,1/26/2012
450,1/26/2012
450,1/26/2012
900,1/26/2012
1125,1/26/2012
